,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID,St_Line,Distance
29502,29503,20-0007NM-MX-188-1256-08670500,3,07/06/2000,2000,7,33.318333,-119.67,086.7 050.0,86.7,-71.47
29503,29504,20-0007NM-PR-188-1737-08670550,3,07/06/2000,2000,7,33.143333,-120.028333,086.7 055.0,86.7,-92.29
29504,29505,20-0007NM-MX-188-2046-08670600,3,07/06/2000,2000,7,32.988333000000004,-120.36333300000001,086.7 060.0,86.7,-111.53
29505,29506,20-0007NM-MX-189-0218-08670700,3,07/07/2000,2000,7,32.653333,-121.03833300000001,086.7 070.0,86.7,-151.06
29506,29507,20-0007NM-MX-189-0747-08670800,3,07/07/2000,2000,7,32.325,-121.72333300000001,086.7 080.0,86.7,-190.94
29507,29508,20-0007NM-MX-189-1330-08670900,3,07/07/2000,2000,7,31.988333,-122.395,086.7 090.0,86.7,-230.6
29508,29509,20-0007NM-PR-189-1914-08671000,3,07/07/2000,2000,7,31.658333000000002,-123.078333,086.7 100.0,86.7,-270.68
29509,29510,20-0007NM-MX-190-0040-08671100,3,07/08/2000,2000,7,31.323333,-123.745,086.7 110.0,86.7,-310.29
29510,29511,20-0007NM-MX-190-0644-08331100,3,07/08/2000,2000,7,31.913333,-124.175,083.3 110.0,83.3,-282.66
29511,29512,20-0007NM-MX-190-1237-08331000,3,07/08/2000,2000,7,32.248333,-123.49,083.3 100.0,83.3,-242.44
29512,29513,20-0007NM-PR-190-1822-08330900,3,07/08/2000,2000,7,32.581666,-122.815,083.3 090.0,83.3,-202.82
29513,29514,20-0007NM-MX-191-0022-08330800,3,07/09/2000,2000,7,32.915,-122.13,083.3 080.0,83.3,-162.88
29514,29515,20-0007NM-MX-191-0643-08330700,3,07/09/2000,2000,7,33.243333,-121.446666,083.3 070.0,83.3,-123.28
29515,29516,20-0007NM-MX-191-1253-08330600,3,07/09/2000,2000,7,33.576665999999996,-120.763333,083.3 060.0,83.3,-83.64
29516,29517,20-0007NM-PR-191-1819-08330550,3,07/09/2000,2000,7,33.746666,-120.41333300000001,083.3 055.0,83.3,-63.4
29517,29518,20-0007NM-MX-191-2051-08330510,3,07/09/2000,2000,7,33.878333000000005,-120.14166599999999,083.3 051.0,83.3,-47.72
29518,29519,20-0007NM-MX-192-0340-08330420,3,07/10/2000,2000,7,34.18,-119.52666599999999,083.3 042.0,83.3,-12.2
29519,29520,20-0007NM-MX-192-0619-08330406,3,07/10/2000,2000,7,34.22,-119.411666,083.3 040.6,83.3,-6.04
