,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID
29426,29427,20-0004JD-MX-104-0407-09000530,2,04/13/2000,2000,4,32.65,-119.486666,090.0 053.0
29427,29428,20-0004JD-MX-104-0930-09000450,2,04/13/2000,2000,4,32.923333,-118.94,090.0 045.0
29428,29429,20-0004JD-MX-104-1501-09000370,2,04/13/2000,2000,4,33.188333,-118.386666,090.0 037.0
29429,29430,20-0004JD-PR-104-1756-09000350,2,04/13/2000,2000,4,33.251666,-118.248333,090.0 035.0
29430,29431,20-0004JD-MX-104-2228-09000300,2,04/13/2000,2000,4,33.418333,-117.905,090.0 030.0
29431,29432,20-0004JD-MX-105-0330-09000280,2,04/14/2000,2000,4,33.483333,-117.77,090.0 028.0
29432,29433,20-0004JD-MX-105-1051-08670330,2,04/14/2000,2000,4,33.89,-118.493333,086.7 033.0
29433,29434,20-0004JD-MX-105-1249-08670350,2,04/14/2000,2000,4,33.828333,-118.635,086.7 035.0
29434,29435,20-0004JD-PR-105-1812-08670400,2,04/14/2000,2000,4,33.66,-118.978333,086.7 040.0
29435,29436,20-0004JD-MX-105-2221-08670450,2,04/14/2000,2000,4,33.496666,-119.32,086.7 045.0
29436,29437,20-0004JD-MX-106-0223-08670500,2,04/15/2000,2000,4,33.323333,-119.666666,086.7 050.0
29437,29438,20-0004JD-MX-106-0545-08670550,2,04/15/2000,2000,4,33.158333,-120.008333,086.7 055.0
29438,29439,20-0004JD-MX-106-0937-08670600,2,04/15/2000,2000,4,32.995,-120.345,086.7 060.0
29439,29440,20-0004JD-PR-106-1807-08670700,2,04/15/2000,2000,4,32.648333,-121.035,086.7 070.0
29440,29441,20-0004JD-MX-106-2323-08670800,2,04/15/2000,2000,4,32.32,-121.715,086.7 080.0
29441,29442,20-0004JD-MX-107-0516-08670900,2,04/16/2000,2000,4,31.988333,-122.398333,086.7 090.0
29442,29443,20-0004JD-MX-107-1306-08671000,2,04/16/2000,2000,4,31.656666,-123.071666,086.7 100.0
29443,29444,20-0004JD-PR-107-1930-08671100,2,04/16/2000,2000,4,31.325,-123.741666,086.7 110.0
29444,29445,20-0004JD-MX-108-0238-08331100,2,04/17/2000,2000,4,31.916666,-124.165,083.3 110.0
29445,29446,20-0004JD-MX-108-0820-08331000,2,04/17/2000,2000,4,32.241666,-123.495,083.3 100.0
29446,29447,20-0004JD-PR-108-1813-08330900,2,04/17/2000,2000,4,32.596666,-122.826666,083.3 090.0
29447,29448,20-0004JD-MX-108-2319-08330800,2,04/17/2000,2000,4,32.913333,-122.13,083.3 080.0
29448,29449,20-0004JD-MX-109-0507-08330700,2,04/18/2000,2000,4,33.245,-121.443333,083.3 070.0
29449,29450,20-0004JD-MX-109-1056-08330600,2,04/18/2000,2000,4,33.576666,-120.75,083.3 060.0
29450,29451,20-0004JD-MX-109-1500-08330550,2,04/18/2000,2000,4,33.748333,-120.41,083.3 055.0
29451,29452,20-0004JD-PR-109-1854-08330510,2,04/18/2000,2000,4,33.873333,-120.138333,083.3 051.0
29452,29453,20-0004JD-MX-110-0154-08330406,2,04/19/2000,2000,4,34.223333,-119.41,083.3 040.6
29453,29454,20-0004JD-MX-110-0336-08330420,2,04/19/2000,2000,4,34.176666,-119.508333,083.3 042.0
29454,29455,20-0004JD-MX-110-0806-08180469,2,04/19/2000,2000,4,34.283333,-120.026666,081.8 046.9
29455,29456,20-0004JD-MX-110-1246-08000510,2,04/19/2000,2000,4,34.448333,-120.523333,080.0 051.0
29456,29457,20-0004JD-PR-110-1832-08000550,2,04/19/2000,2000,4,34.293333,-120.823333,080.0 055.0
29457,29458,20-0004JD-MX-110-2121-08000600,2,04/19/2000,2000,4,34.148333,-121.156666,080.0 060.0
29458,29459,20-0004JD-MX-111-0310-08000700,2,04/20/2000,2000,4,33.815,-121.841666,080.0 070.0
29459,29460,20-0004JD-MX-111-0905-08000800,2,04/20/2000,2000,4,33.488333,-122.53,080.0 080.0
29460,29461,20-0004JD-PR-111-1808-08000900,2,04/20/2000,2000,4,33.165,-123.218333,080.0 090.0
